Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,145.1,92.9,120.1,141.8,157.7,83.4
Switzerland,131.7,55.0,95.1,133.4,126.1,111.0
Norway,106.1,36.2,72.7,100.6,105.9,79.4
Iceland,96.8,43.2,71.2,88.8,102.2,71.9
Denmark,91.7,36.2,65.2,72.6,104.9,94.7
Luxembourg,88.3,61.6,75.5,80.7,94.7,95.4
Japan,87.8,28.0,59.2,90.5,49.7,76.5
Israel,86.6,31.9,60.5,73.7,91.1,70.4
Bahamas,85.8,34.5,61.3,69.4,89.3,49.3
Singapore,85.6,64.8,75.6,75.3,62.1,83.6
Australia,84.1,38.4,62.3,81.1,76.3,99.3
Ireland,83.1,45.4,65.1,67.8,82.3,73.8
Barbados,81.5,21.1,52.6,71.5,72.8,45.3
South Korea,81.2,22.9,53.3,99.8,44.0,76.6
France,80.6,27.8,55.4,77.5,75.5,74.1
Hong Kong,79.9,74.2,77.2,81.7,58.6,62.4
Sweden,79.2,28.1,54.8,71.7,77.2,90.6
New Zealand,79.1,35.4,58.2,75.0,69.2,81.4
Seychelles,78.9,34.3,57.6,78.6,84.2,18.0
Netherlands,78.6,39.3,59.8,61.6,81.6,83.9
Belgium,78.5,26.8,53.8,67.3,82.4,76.5
Finland,77.5,28.0,53.9,65.6,81.2,89.1
Lebanon,75.9,24.1,51.1,72.5,62.9,29.5
Austria,75.5,28.4,53.0,67.6,71.0,78.2
Malta,73.6,33.0,54.2,63.4,77.0,41.9
Italy,73.1,22.9,49.1,62.5,75.6,58.7
United States,71.9,41.1,57.2,70.2,69.4,102.6
United Kingdom,71.0,31.6,52.2,56.4,74.7,82.6
Germany,70.6,29.6,51.0,54.7,65.0,93.7
Canada,70.1,32.5,52.1,68.5,64.0,82.8
Macao,69.6,44.4,57.6,66.3,48.9,67.6
Puerto Rico,69.5,19.4,45.6,72.1,58.1,69.2
Taiwan,65.2,17.9,42.6,79.1,28.8,56.1
Qatar,64.2,46.6,55.8,56.7,62.6,93.1
Cyprus,64.0,22.7,44.3,51.7,66.3,52.3
United Arab Emirates,61.7,40.6,51.6,48.8,61.3,85.7
Greece,61.0,13.1,38.1,47.7,55.7,38.9
Slovenia,59.4,18.9,40.0,51.5,47.9,56.1
Spain,59.1,23.6,42.1,48.7,57.0,62.7
Bahrain,57.7,29.5,44.2,47.0,52.3,53.2
Estonia,56.5,16.3,37.3,43.3,56.3,61.2
Croatia,56.4,14.9,36.6,49.1,46.1,43.1
Palestine,55.9,10.0,34.0,50.2,36.2,39.1
Cuba,55.5,14.9,36.1,46.9,32.9,1.4
Trinidad And Tobago,55.5,16.4,36.8,53.1,52.2,39.0
Ivory Coast,54.6,20.3,38.2,47.2,34.5,6.3
Ethiopia,54.3,15.6,35.8,37.5,18.2,10.1
Panama,54.1,22.6,39.0,54.8,45.5,32.1
Jamaica,53.2,15.9,35.4,55.9,33.1,32.2
Portugal,52.9,22.3,38.3,42.0,43.2,45.0
Latvia,52.9,13.2,33.9,41.4,44.9,45.9
Mauritius,52.6,12.3,33.3,54.1,37.6,27.4
Belize,52.4,11.6,32.9,47.8,36.1,45.7
Jordan,52.2,9.7,31.9,42.8,42.1,33.1
Suriname,51.9,10.4,32.1,50.4,62.6,16.5
Zimbabwe,51.5,9.4,31.4,45.6,39.3,22.1
Yemen,51.5,6.2,29.8,61.2,23.6,14.7
Uruguay,51.1,13.6,33.2,40.8,49.0,30.6
Costa Rica,50.6,14.5,33.4,48.0,41.3,39.0
Oman,50.2,17.3,34.5,46.9,41.9,84.4
Saudi Arabia,49.9,11.6,31.6,41.7,32.0,88.2
Kuwait,49.4,31.4,40.8,35.9,45.1,75.3
Brunei,49.4,23.4,37.0,47.2,35.9,89.0
Chile,49.3,14.7,32.8,41.8,46.0,33.3
Thailand,49.3,16.3,33.6,50.6,24.2,31.4
Czech Republic,49.2,19.8,35.1,42.8,34.7,56.4
Slovakia,49.1,17.4,34.0,43.0,37.5,50.4
Fiji,48.5,17.8,33.8,53.4,38.6,30.0
Cambodia,47.9,14.6,32.0,48.6,23.1,11.4
Lithuania,47.7,14.6,31.9,37.3,46.0,54.6
Guatemala,44.8,15.2,30.7,41.7,32.5,25.6
El Salvador,44.6,13.3,29.6,42.7,33.3,20.7
Nicaragua,42.8,8.0,26.2,41.1,29.5,16.7
Hungary,42.7,12.8,28.4,35.5,34.2,49.8
Cameroon,42.6,7.4,25.8,42.9,24.7,15.4
China,42.5,16.4,30.1,45.5,28.4,57.5
Honduras,42.2,10.6,27.1,35.1,28.7,31.1
Poland,42.0,18.1,30.6,33.4,35.4,47.1
South Africa,41.7,15.9,29.4,34.6,37.2,72.9
Dominican Republic,41.5,9.8,26.4,36.1,35.3,21.7
Montenegro,41.4,11.8,27.3,32.5,32.5,35.4
Iran,41.3,17.9,30.1,36.3,25.9,19.0
Namibia,41.0,14.3,28.2,35.7,35.6,53.3
Bulgaria,40.9,9.9,26.1,35.2,31.9,40.3
Philippines,40.7,10.4,26.2,38.9,22.2,19.7
Ghana,40.6,18.4,30.0,41.2,31.5,15.2
Botswana,40.4,10.7,26.2,34.6,41.5,61.9
Albania,40.2,9.2,25.4,32.7,30.7,26.6
Ecuador,40.1,12.0,26.7,36.4,28.5,30.5
Malaysia,39.5,10.8,25.8,40.2,21.7,56.1
Serbia,39.2,9.8,25.2,29.7,30.6,35.8
Bosnia And Herzegovina,38.6,7.1,23.5,31.8,25.7,42.6
Romania,38.5,10.8,25.2,33.4,32.4,45.2
Myanmar,38.1,21.7,30.2,39.6,21.2,10.7
Vietnam,38.0,14.2,26.6,38.3,19.0,27.3
Argentina,37.9,8.5,23.8,29.2,33.4,34.6
Indonesia,37.4,10.3,24.5,39.4,18.0,20.9
Somalia,37.4,5.9,22.4,44.5,26.7,27.2
Morocco,36.9,9.7,23.9,32.8,26.3,32.2
Kenya,36.3,9.2,23.3,33.4,30.5,27.7
Peru,36.3,12.3,24.8,33.8,23.6,28.8
Bolivia,36.1,10.8,24.0,31.9,25.2,37.2
Mozambique,35.9,15.1,26.0,29.1,29.3,16.4
Mexico,35.1,11.6,23.9,33.6,28.9,35.5
Tanzania,34.6,13.1,24.3,30.6,25.2,16.0
North Macedonia,34.1,6.7,21.0,28.5,22.5,32.0
Rwanda,34.1,14.9,24.9,28.5,28.5,22.0
Bangladesh,33.3,4.9,19.7,31.5,20.4,24.1
Mongolia,33.2,9.9,22.1,33.1,23.3,28.1
Russia,33.2,9.8,22.0,27.8,30.6,34.6
Iraq,32.7,9.8,21.8,27.5,25.6,39.8
Moldova,32.7,8.7,21.2,26.1,26.6,27.0
Uganda,32.2,7.3,20.3,28.9,22.0,14.0
Brazil,31.8,8.1,20.5,25.4,22.5,28.7
Armenia,31.7,10.4,21.5,24.6,27.2,26.1
Turkey,31.5,6.1,19.4,28.1,19.9,35.3
Sri Lanka,31.3,8.5,20.4,36.5,16.5,20.8
Colombia,31.0,10.0,20.9,26.3,21.8,26.1
Azerbaijan,30.9,9.0,20.4,26.2,28.7,25.8
Paraguay,30.7,9.8,20.7,24.5,24.3,27.5
Belarus,30.7,9.2,20.4,26.6,31.0,32.0
Egypt,30.1,6.0,18.6,26.5,24.9,20.0
Kazakhstan,29.8,9.3,20.0,25.6,25.8,34.9
Nigeria,29.7,28.9,29.3,31.2,18.0,9.8
Tunisia,29.5,5.8,18.2,28.5,15.7,27.8
Kosovo (Disputed Territory),29.4,8.8,19.6,26.9,21.1,40.1
Ukraine,29.2,8.7,19.4,24.3,23.7,30.1
Syria,29.0,5.7,17.9,28.4,23.5,8.1
Nepal,28.9,4.5,17.2,26.5,19.7,20.6
Algeria,28.3,5.0,17.2,29.1,15.0,24.8
Zambia,28.1,6.7,17.9,27.1,16.2,59.5
Georgia,28.0,9.4,19.1,24.4,24.2,25.7
Uzbekistan,27.1,8.1,18.0,23.9,21.4,22.0
Afghanistan,26.3,3.9,15.6,19.3,17.0,26.6
India,25.2,5.8,15.9,26.3,17.7,47.1
Kyrgyzstan,23.0,7.4,15.5,20.6,19.2,22.0
Libya,22.3,5.7,14.4,25.3,13.3,31.8
Pakistan,21.6,4.4,13.4,19.1,17.2,27.3
