Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,7.43413024164659,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,3.38389441392365,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,14.0407764554918,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,12.0422697054293,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,6.63393390576253,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,11.4506494353004,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,9.87006099811195,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,10.2174041251936,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,10.237970657011,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,6.61986461370304,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,7.03959276593856,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,9.1772241046346,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,7.63247178760314,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,6.60751941253656,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,6.61687877827502,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,6.41834983380189,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,High income,HIC,..,..,..,..,..,..,..,..,..,8.06677912750778,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,10.0823697483267,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,9.7909766944819,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,9.88010692914316,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,9.84415550927624,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,9.90467843070518,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,8.10110703260252,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,10.2250863035245,..,..
