Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,21095672;;;;;18,25231774;;;;;15,85211525;;;;;13,86701421;;;12,50633109;12,48724817;12,17185761;;;
Afghanistan;AFG;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,9;;;;;32,7;;;;;29,1;;;;;26;;;23,8;23,8;23,3;;;
Africa Western and Central;AFW;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,74912599;;;;;10,56639588;;;;;8,751625876;;;;;7,299100648;;;6,32421529;6,328374989;6,095924185;;;
Angola;AGO;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;ALB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;31,3;;;;;28;;;;;25,1;;;23;23;22,4;;;
Andorra;AND;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,9;;;;;34,8;;;;;34;;;;;33;;;32;32;31,8;;;
Arab World;ARB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,71871544;;;;;22,66149383;;;;;21,92998854;;;;;21,19167882;;;20,81921644;20,82793322;20,66904897;;;
United Arab Emirates;ARE;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;31,5;;;;;28,9;;;;;26,6;;;24,9;24,9;24,5;;;
Armenia;ARM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;30,3;;;;;28,6;;;;;26,9;;;25,8;25,8;25,5;;;
American Samoa;ASM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
